Stock Code,Warehouse,CREATEDATE,BATCH,Qty
8515210204                         ,60,16/4/2026,199900011926,70
8515210204                         ,60,6/3/2026,199900009257,70
8515210204                         ,60,18/4/2026,199900011922,70
8515210204                         ,60,18/4/2026,199900011906,70
8515210204                         ,60,18/4/2026,199900011923,70
8515210204                         ,60,18/4/2026,199900011919,70
8515210204                         ,60,21/4/2026,199900011913,70
8515210204                         ,60,16/4/2026,199900011928,70
8515210204                         ,60,21/4/2026,199900012232,60
8515210204                         ,60,13/5/2026,199900013032,70
8515210204                         ,60,16/4/2026,199900011930,70
8515210204                         ,60,6/3/2026,199900009259,70
8515210204                         ,60,13/5/2026,199900013033,70
8515210204                         ,60,16/4/2026,199900011924,70
8515210204                         ,60,21/4/2026,199900011918,70
8515210204                         ,60,4/3/2026,199900009241,70
8515210204                         ,60,21/4/2026,199900011912,70
8515210204                         ,60,21/4/2026,199900011916,70
8515210204                         ,60,18/4/2026,199900011907,70
8515210204                         ,60,21/4/2026,199900011914,70
8515210204                         ,60,6/3/2026,199900009256,70
8515210204                         ,60,16/4/2026,199900011927,70
8515210204                         ,60,9/5/2026,199900012974,10
8515210204                         ,60,16/4/2026,199900011925,70
8515210204                         ,60,21/4/2026,199900011915,70
8515210204                         ,60,16/4/2026,199900011932,70
8515210204                         ,60,18/4/2026,199900011908,70
8515210204                         ,60,16/4/2026,199900011931,70
8515210204                         ,60,9/5/2026,199900012975,40
8515210204                         ,60,6/3/2026,199900009258,70
8515210204                         ,60,18/4/2026,199900011920,70
8515210204                         ,60,18/4/2026,199900011921,70
8515210204                         ,60,16/4/2026,199900011929,70
8515210204                         ,60,21/4/2026,199900011917,70
8515210204                         ,60,16/4/2026,199900011933,70
8515210204                         ,62,10/6/2026,199900014952,70
8515210204                         ,62,10/6/2026,199900014953,70
8515210204                         ,62,10/6/2026,199900014951,70
8515210204                         ,62,9/6/2026,199900014862,70
8515210204                         ,62,9/6/2026,199900014861,70
8515210204                         ,62,10/6/2026,199900014950,70
8515210204                         ,62,10/6/2026,199900014954,70
8515210204                         ,62,10/6/2026,199900014947,70
